rec_idx,title,company,location,career,education,deadline,link,salary,crawled_at,score
51824234,네트워크 유지관리 엔지니어(경력) 모집,(주)우리아이티,부산동구,신입·경력,초대졸↑,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51824234&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52214301,㈜우진플라임 부문별 인재채용,(주)우진플라임,대구전체,신입·경력,학력무관,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52214301&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52189904,한양정밀 본사 각 사업부 사무직 및 현장직 직원 채용공고,(주)한양정밀,경기김포시,신입·경력,초대졸↑,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52189904&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52169255,"2025년 각 부문별 신입/경력 채용 (UI 설계 및 S/W 개발, 해외영업, 경영지원실)",(주)파미,대전전체,신입·경력,초대졸↑,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52169255&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52237545,2025 부문별 공개채용,정우산기(주),충남천안시 동남구,신입·경력,학력무관,~ 12/05(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52237545&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52264123,STX엔진㈜ 2025 하반기 신입/경력 채용,STX엔진(주),경남창원시,신입·경력,초대졸↑,~ 11/24(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52264123&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52280440,[웹개발] 함께 일 할 프로그램 개발자를 모집합니다.,㈜아이디노,부산해운대구,경력무관,초대졸↑,~ 11/28(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52280440&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52279073,AI Vision 전문기업 개발자 정규직 채용공고,(주)더컴퍼니,경남전체,경력무관,학력무관,~ 12/11(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52279073&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52277408,자율주행 로봇 AMR 개발자 연구원(주4일),프로솔루션,경북구미시,경력무관,학력무관,~ 12/11(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52277408&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52082807,#명절상여금지급# 부산 롯데카드 단순 문의 응대,(주)블루에이치알,부산동구,경력무관,고졸↑,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52082807&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
